raceId,driverId,qPosition,qBestTime
202301,1,1,1:29.294
202301,2,2,1:29.476
202301,4,3,1:29.939
202301,21,8,1:30.197
202301,5,4,1:29.948
202301,6,5,1:29.993
202301,7,7,1:30.139
202301,8,9,1:30.236
202301,9,11,1:30.303
202301,10,15,1:30.401
202301,11,10,1:30.295
202301,12,16,1:30.403
202301,13,14,1:30.381
202301,14,12,1:30.327
202301,15,18,1:30.545
202301,16,20,1:30.698
202301,17,19,1:30.677
202301,18,17,1:30.519
202301,19,13,1:30.380
202301,20,6,1:30.127
202302,1,1,1:26.905
202302,2,2,1:27.300
202302,4,8,1:27.976
202302,21,4,1:27.820
202302,5,7,1:27.943
202302,6,3,1:27.682
202302,7,6,1:27.942
202302,8,9,1:27.980
202302,9,17,1:28.330
202302,10,11,1:28.121
202302,11,16,1:28.310
202302,12,12,1:28.207
202302,13,10,1:28.005
202302,14,5,1:27.924
202302,15,13,1:28.209
202302,16,19,1:28.461
202302,17,20,1:28.545
202302,18,14,1:28.303
202302,19,18,1:28.402
202302,20,15,1:28.310
202303,1,1,1:22.989
202303,2,2,1:23.265
202303,4,5,1:23.865
202303,21,6,1:23.890
202303,5,7,1:23.942
202303,6,3,1:23.740
202303,7,10,1:23.998
202303,8,11,1:24.004
202303,9,4,1:23.778
202303,10,15,1:24.263
202303,11,18,1:24.364
202303,12,13,1:24.205
202303,13,9,1:23.973
202303,14,8,1:23.966
202303,15,17,1:24.357
202303,16,16,1:24.355
202303,17,19,1:24.483
202303,18,20,1:24.499
202303,19,14,1:24.221
202303,20,12,1:24.182
202304,1,2,1:24.332
202304,2,1,1:24.302
202304,4,4,1:25.066
202304,21,7,1:25.155
202304,5,3,1:25.024
202304,6,5,1:25.079
202304,7,10,1:25.293
202304,8,9,1:25.271
202304,9,11,1:25.305
202304,10,8,1:25.216
202304,11,14,1:25.402
202304,12,18,1:25.540
202304,13,12,1:25.314
202304,14,6,1:25.101
202304,15,19,1:25.624
202304,16,13,1:25.376
202304,17,20,1:25.715
202304,18,17,1:25.489
202304,19,15,1:25.408
202304,20,16,1:25.460
202305,1,1,1:25.357
202305,2,2,1:25.869
202305,4,4,1:26.269
202305,21,9,1:26.463
202305,5,7,1:26.368
202305,6,3,1:26.256
202305,7,5,1:26.314
202305,8,8,1:26.387
202305,9,10,1:26.497
202305,10,13,1:26.600
