resultId,raceId,driverId,teamId,grid,position,points,status,fastestLapTime,gapToWinnerSeconds
10001,202301,1,1,1,3,15,Finished,1:31.5,8.0
10002,202301,2,1,2,1,25,Finished,1:31.0,0.0
10003,202301,4,2,3,2,18,Finished,1:31.3,6.3
10004,202301,21,2,8,9,2,Finished,,42.1
10005,202301,5,3,4,17,0,Finished,,79.3
10006,202301,6,3,5,,0,Engine,,
10007,202301,7,4,7,11,0,Finished,1:32.8,43.9
10008,202301,8,4,9,7,6,Finished,1:32.1,39.2
10009,202301,9,5,11,15,0,Finished,1:31.8,55.2
10010,202301,10,5,15,4,12,Finished,1:32.3,23.3
10011,202301,11,6,10,10,1,Finished,1:32.9,42.2
10012,202301,12,6,16,8,4,Finished,1:32.6,41.9
10013,202301,13,7,14,14,0,Finished,1:32.0,54.7
10014,202301,14,7,12,13,0,Finished,,53.6
10015,202301,15,8,18,12,0,Finished,1:32.5,46.1
10016,202301,16,8,20,16,0,Finished,1:33.0,57.7
10017,202301,17,9,19,,0,Gearbox,1:33.4,
10018,202301,18,9,17,18,0,Finished,1:33.1,95.5
10019,202301,19,10,13,5,10,Finished,1:31.1,29.8
10020,202301,20,10,6,6,8,Finished,1:31.2,34.3
10021,202302,1,1,1,1,25,Finished,1:29.4,0.0
10022,202302,2,1,2,16,0,Finished,1:29.8,49.4
10023,202302,4,2,8,10,1,Finished,1:30.0,38.3
10024,202302,21,2,4,2,18,Finished,1:28.8,26.2
10025,202302,5,3,7,19,0,Finished,1:30.4,53.5
10026,202302,6,3,3,13,0,Finished,1:30.1,43.8
10027,202302,7,4,6,3,15,Finished,1:30.4,29.1
10028,202302,8,4,9,17,0,Finished,1:30.3,50.2
10029,202302,9,5,17,15,0,Finished,1:29.6,48.4
10030,202302,10,5,11,5,10,Finished,,33.8
10031,202302,11,6,16,18,0,Finished,1:29.8,51.6
10032,202302,12,6,12,6,8,Finished,1:29.3,35.2
10033,202302,13,7,10,4,12,Finished,1:30.0,33.6
10034,202302,14,7,5,8,4,Finished,1:30.0,37.1
10035,202302,15,8,13,12,0,Finished,1:29.8,42.8
10036,202302,16,8,19,11,0,Finished,1:30.6,41.7
10037,202302,17,9,20,9,2,Finished,1:29.7,37.5
10038,202302,18,9,14,7,6,Finished,1:29.0,35.9
10039,202302,19,10,18,14,0,Finished,1:29.4,45.5
10040,202302,20,10,15,20,0,Finished,1:31.1,83.7
10041,202303,1,1,1,1,25,Finished,1:25.6,0.0
10042,202303,2,1,2,3,15,Finished,1:26.2,9.2
10043,202303,4,2,5,2,18,Finished,1:24.9,8.6
10044,202303,21,2,6,5,10,Finished,1:26.2,27.1
10045,202303,5,3,7,,0,Engine,,
10046,202303,6,3,3,,0,Engine,,
10047,202303,7,4,10,12,0,Finished,1:26.1,57.5
10048,202303,8,4,11,,0,Electrical,1:25.5,
10049,202303,9,5,4,4,12,Finished,1:26.2,15.3
10050,202303,10,5,15,10,1,Finished,1:27.0,39.0
10051,202303,11,6,18,9,2,Finished,,38.4
10052,202303,12,6,13,11,0,Finished,1:26.7,41.1
10053,202303,13,7,9,,0,Hydraulics,,
10054,202303,14,7,8,14,0,Finished,1:26.9,76.1
10055,202303,15,8,17,6,8,Finished,1:26.1,28.8
10056,202303,16,8,16,7,6,Finished,1:26.0,30.5
10057,202303,17,9,19,13,0,Finished,1:26.5,63.9
10058,202303,18,9,20,,0,Engine,1:26.3,
10059,202303,19,10,14,8,4,Finished,1:25.8,38.2
10060,202303,20,10,12,,0,Hydraulics,,
10061,202304,1,1,2,,0,Electrical,,
10062,202304,2,1,1,1,25,Finished,1:26.9,0.0
10063,202304,4,2,4,12,0,Finished,1:27.7,59.7
10064,202304,21,2,7,,0,Brakes,,
10065,202304,5,3,3,,0,Gearbox,,
10066,202304,6,3,5,2,18,Finished,1:26.0,22.7
10067,202304,7,4,10,6,8,Finished,1:26.9,35.6
10068,202304,8,4,9,5,10,Finished,1:26.6,34.0
10069,202304,9,5,11,13,0,Finished,1:27.1,60.9
10070,202304,10,5,8,8,4,Finished,1:28.2,50.0
10071,202304,11,6,14,15,0,Finished,1:27.8,66.2
10072,202304,12,6,18,10,1,Finished,1:28.2,51.6
10073,202304,13,7,12,7,6,Finished,1:26.8,40.5
10074,202304,14,7,6,,0,Brakes,,
10075,202304,15,8,19,14,0,Finished,1:27.6,61.5
10076,202304,16,8,13,9,2,Finished,1:28.2,51.4
10077,202304,17,9,20,4,12,Finished,1:26.8,29.6
10078,202304,18,9,17,16,0,Finished,1:29.4,98.3
10079,202304,19,10,15,11,0,Finished,1:27.9,57.7
10080,202304,20,10,16,3,15,Finished,1:27.0,24.5
10081,202305,1,1,1,1,25,Finished,1:26.8,0.0
10082,202305,2,1,2,2,18,Finished,1:27.6,10.5
10083,202305,4,2,4,7,6,Finished,1:28.3,27.4
10084,202305,21,2,9,5,10,Finished,1:27.7,26.5
10085,202305,5,3,7,9,2,Finished,1:28.2,41.1
10086,202305,6,3,3,18,0,Finished,1:29.1,57.0
