videoId,raceId,focusDriverId,category,title,publishDatetime,durationSeconds,views,likes,comments,avgViewPct
5001,,,off-season,Technical regulations deep dive | 2023,2023-01-05T18:00:00,660,16182,735,51,45.2
5002,,,off-season,Drivers to watch | 2023,2023-01-09T16:00:00,1485,12153,534,45,45.4
5003,,,off-season,Rule changes explained | 2023,2023-01-12T17:00:00,1140,11549,439,46,47.5
5004,,,off-season,Season preview | 2023,2023-01-20T16:00:00,1245,19425,932,67,47.6
5005,,,off-season,Engine suppliers explained | 2023,2023-01-21T17:00:00,1305,9844,441,37,50.4
5006,,,off-season,Pre-season testing analysis | 2023,2023-02-06T18:00:00,1185,15123,559,37,48.4
5007,,,off-season,Team launch roundup | 2023,2023-02-07T18:00:00,1455,11029,508,29,49.8
5008,,,off-season,Predictions show | 2023,2023-02-10T18:00:00,1005,15373,636,64,45.5
5009,,,off-season,Fantasy league launch | 2023,2023-02-20T16:00:00,630,17468,756,74,48.8
5010,,,off-season,Calendar guide | 2023,2023-02-20T17:00:00,1395,21998,1058,90,48.4
5011,202301,,qualifying-report,Silverpine Grand Prix 2023 qualifying report,2023-03-05T06:35:10,1410,25079,1134,81,46.6
5012,202301,1,driver-focus,Kasper Renn: the story so far,2023-03-06T13:09:34,735,21362,982,71,44.0
5013,202301,2,driver-focus,Mateo Vidal: the story so far,2023-03-06T22:05:36,1290,22672,983,65,50.9
5014,202301,,race-recap,Silverpine Grand Prix 2023 race highlights and analysis,2023-03-09T12:05:33,660,29874,1173,61,50.2
5015,202302,,qualifying-report,Costa Azul Grand Prix 2023 qualifying report,2023-03-17T23:00:33,855,46015,1781,130,41.2
5016,202302,4,driver-focus,Elodie Marchand: the story so far,2023-03-20T05:40:00,1320,26196,1163,35,39.6
5017,202302,2,driver-focus,Mateo Vidal: the story so far,2023-03-20T14:40:06,915,30142,1186,126,50.9
5018,202302,,race-recap,Costa Azul Grand Prix 2023 race highlights and analysis,2023-03-20T20:52:26,1425,42154,1887,67,48.4
5019,202302,4,driver-focus,Elodie Marchand: the story so far,2023-03-21T10:35:40,795,40007,1900,119,47.5
5020,202302,,tech-analysis,How the cars evolved for Costa Azul Grand Prix 2023,2023-03-21T18:50:41,1335,26607,950,69,44.5
5021,202303,,qualifying-report,Sakura Grand Prix 2023 qualifying report,2023-03-30T18:27:25,870,24404,1067,111,39.7
5022,202303,4,driver-focus,Elodie Marchand: the story so far,2023-04-03T13:38:49,945,36606,1021,106,44.6
5023,202303,21,driver-focus,Casper Holm: the story so far,2023-04-03T16:11:27,1470,22718,990,35,46.5
5024,202303,10,driver-focus,Petr Kovalenko: the story so far,2023-04-03T18:04:38,1155,34516,1556,140,53.4
5025,202303,,tech-analysis,How the cars evolved for Sakura Grand Prix 2023,2023-04-04T17:35:10,1320,14764,716,39,40.7
5026,202303,,race-recap,Sakura Grand Prix 2023 race highlights and analysis,2023-04-08T08:27:34,1095,100785,4317,312,46.8
5027,202304,,qualifying-report,Redstone Grand Prix 2023 qualifying report,2023-04-13T02:59:09,1485,19966,965,35,47.4
5028,202304,,race-recap,Redstone Grand Prix 2023 race highlights and analysis,2023-04-15T04:56:42,525,87634,3250,296,66.8
5029,202304,4,driver-focus,Elodie Marchand: the story so far,2023-04-16T10:08:46,1410,37833,1441,94,46.3
5030,202305,,qualifying-report,Lago Bianco Grand Prix 2023 qualifying report,2023-04-26T01:21:56,735,44781,2013,170,46.8
5031,202305,12,driver-focus,Wei Tan: the story so far,2023-04-27T18:52:20,1065,38402,1432,139,46.5
5032,202305,1,driver-focus,Kasper Renn: the story so far,2023-04-28T23:04:23,1395,18867,900,53,37.9
5033,202305,,tech-analysis,How the cars evolved for Lago Bianco Grand Prix 2023,2023-04-30T01:52:49,1065,21787,885,79,45.6
5034,202305,,race-recap,Lago Bianco Grand Prix 2023 race highlights and analysis,2023-05-03T17:18:49,1275,49824,2004,160,45.2
5035,202306,2,driver-focus,Mateo Vidal: the story so far,2023-05-12T05:58:43,480,29495,1152,103,39.3
5036,202306,2,driver-focus,Mateo Vidal: the story so far,2023-05-12T23:21:07,870,36852,1329,57,52.2
5037,202306,,tech-analysis,How the cars evolved for Nordbahn Grand Prix 2023,2023-05-13T06:56:33,1110,21138,930,68,45.2
5038,202306,,race-recap,Nordbahn Grand Prix 2023 race highlights and analysis,2023-05-14T05:35:10,1320,47901,1986,124,50.7
5039,202307,2,driver-focus,Mateo Vidal: the story so far,2023-05-23T06:23:48,570,34220,1277,80,49.7
5040,202307,,race-recap,Harbourside Grand Prix 2023 race highlights and analysis,2023-05-23T07:18:05,870,27501,1106,95,58.4
5041,202307,14,driver-focus,Joao Ferreira: the story so far,2023-05-23T14:04:42,990,49236,2073,158,49.3
5042,202307,,tech-analysis,How the cars evolved for Harbourside Grand Prix 2023,2023-05-24T15:13:29,1275,30940,1394,111,51.6
5043,202307,2,driver-focus,Mateo Vidal: the story so far,2023-05-26T02:51:55,1410,49816,1537,179,53.4
5044,202308,,qualifying-report,Vallee Verte Grand Prix 2023 qualifying report,2023-06-04T09:50:32,1020,29971,895,120,50.3
5045,202308,20,driver-focus,Lukas Steiner: the story so far,2023-06-06T06:38:45,1350,45371,1840,170,53.4
5046,202308,20,driver-focus,Lukas Steiner: the story so far,2023-06-06T07:39:01,555,42468,1703,135,35.6
5047,202308,4,driver-focus,Elodie Marchand: the story so far,2023-06-08T01:25:23,705,35664,1346,148,47.7
5048,202308,,race-recap,Vallee Verte Grand Prix 2023 race highlights and analysis,2023-06-09T12:49:21,840,66529,3598,147,53.4
